点名,评论数,均价,口味,环境,服务,地址,电话,
阿叔牛杂,782,31,7.7,6.8,7.5, 园岭六街号 ,15099940356,
最牛的牛杂,74,15,7.4,6.7,7.2, 深南大道车公庙丰盛町C-1 ,13760323380,
汕尾小吃铜盘推,52,25,8,6.9,7.6, 南园路埔尾村1栋1号商铺 ,15814007992,
旁派牛肉粿条汤(福田口岸店),47,23,7.7,7.6,7.6, 福田街道渔农社区裕亨路1号名津广场1层11号商铺 ,17322342448,
老地方(桂庙新村店),252,22,8.5,7.3,7.8, 桂庙新村-1-1 ,15019448168,
江味龙虾馆(南山店),3745,118,9,8.9,9.1, 桂庙路号地铁H出口(南山大道与桂庙路交汇路口) ,0755-26655512,
江城小叙·武汉热干面(皇庭广场店),165,28,8.4,8.4,8.3, 福华三路11号皇庭广场B1-H--1 ,0755-83213995,
无虾不欢(海岸城店),375,118,8.3,8.5,8.3, 粤海街道保利文化广场A区三层A--号 ,15013704224,
锦记热干面,条评论,元,.,.,., 塘商AA-1 ,11,
花溪牛肉,条评论,元,.,.,., 1(近) ,-,
鱼你在一起(创维店),28,34,8,7.5,7.5, 高新南四道创维半导体大厦裙楼1层荟食广场(喇叭口处进1米) ,18665855891,
才记牛杂粉面云吞,130,19,8.5,6.8,8, 田心村宝岗路笋岗派出所对面 ,13410688973,
卓记米粉(粉滋粉味地王店),1880,34,8,7.5,7.7, 宝安南路1号(振业大厦公交站) ,0755-82661467,
万利记老长沙小吃社(北站店),78,33,7.7,7.7,7.4, 民治街道民塘路北站社区深圳北站主体楼-东延平台商业区B-1、B-1、B-1号商铺 ,15999635310,
原地包紮,262,23,8.4,7.8,8.3, 桂庙新村栋- ,19925473261,
旁派牛肉粿条(东门店),124,22,7.7,7.5,7.7, 罗湖区东门老街南庆街1号 ,18126331504,
米王肠粉,966,17,7.7,7.9,8.1, 金塘街号(平乐骨科医院旁) ,0755-25906606,
凤栈·纸烤胡椒鸡,条评论,元,.,.,., 田岗11(近轩酒店停车) ,1,
艾薯Aysh(购物公园店),4096,43,8,7.8,7.7, 民田路东福华三路北星河cocopark负一楼1,1室(近购物公园地铁站) ,0755-83170291
明记车轮饼,264,10,7.9,7.4,7.7, 学府路桂庙新村栋(大榕树旁边) ,13725581178,
汕头辉记肠粉王(皇岗总店),1010,24,7.9,6.9,7.4, 金田路福田街道皇岗上围一村号1 ,0755-83809428,
老传统布拉肠,98,11,7.7,6.8,7.4, 桂园街道红桂路清庆新村号1 ,15118008983,
鑫正凤城,条评论,元,.,0.1,., 万象 ,添加,
余记海丰小吃,36,27,8.5,7.9,8, 南湾街道丹竹头恋珠西二巷号11铺 ,13710142201,
里食臻·滋补靓汤,31,38,7.5,7.8,7.5, 泰然八路 泰然大厦A座一楼(萨姆王隔壁) ,0755-33089328,
西关东记(翻身店),117,20,7.2,7.6,7.5, 翻身路号 ,13590332572,
桃园眷村(海岸城店),1177,41,7.1,7.6,7.4, 粤海街道文心五路号海岸城购物中心层号铺 ,0755-86707991,
桃醉里烧烤海鲜江湖菜馆,110,124,8.9,8.9,8.9, 前海路1-1号(平方超市二楼) ,13751010227,
包粥稻(学府路店),127,24,8.4,8.1,8, 学府路荔馨村 ,15019232110,
蒋阿姨砂锅凤爪(学府店),109,21,8.5,7.7,8, 南头街道学府路-号(荔苑小区北区底商) ,15800970175,
天津煎饼果子,881,25,7.7,7.4,7.9, 华强北港澳城11号 ,13823722919,
吃个汤(黄贝岭店),65,36,7.5,7.5,7.5, 黄贝岭凤凰路1号HICITY购物中心L层K-K号铺 ,0755-22744765,
大喜麻辣拌(东门町店),84,22,7.6,7.1,7.3, 人民北路永新街东门町广场A1-1号(百货广场东座对面) ,13959996675,
小田豆浆(石厦店),84,25,7.3,7.5,7.3, 厦东四巷石厦花园1号 ,添加,
老班长手工灌汤包(皇庭店),668,46,7.2,7.4,7, 金田路1号皇庭广场G层(乐凯撒比萨对面) ,0755-83210013,
汕头鱼粥,条评论,元,.,.,., 口下-1() ,-,
蛇口康乐快餐鱼仔档,506,57,7.9,7,7.6, 蛇口新街1号(翠苑小区西侧) ,0755-26682075,
凤英小吃,6,20,7.7,7.3,7.5, 沙头角公园路1号 ,添加,
煎饼志(清湖店),158,22,8,8.4,8.2, 青阳路金銮国际期底商1楼11号(清湖地铁站C出口右转1米处) ,13686862228,
超级物种(华强北店),373,127,7.8,7.8,7.8, 华强北街道华强北路西侧东方时代广场裙楼负一层B11号 ,0755-82575735,
旁派牛肉粿条(福华路店),207,28,8.1,8.1,8, 福华路1号 ,18118750784,
海丰小吃,162,17,8.3,7.2,8.2, 水库新村号 ,15999682991,
吃个汤(星河谷店),92,31,8.4,8.3,8.4, 坂田街道梅坂大道雅宝路星河World.CoCoParkB1C-号 ,0755-86576985,
吃个汤(科兴旗舰店),条评论,1,.,.,., 科苑1科科C栋G-铺 ,-1,
泡面小食堂(皇庭中心店),24,25,7.6,7.5,7.9, 金田路皇庭中心B1-1号(皇庭中心B1层，大中华马路对面) ,15013619233,
悟空轩杂粮煎饼,1194,19,7.5,7.4,7.6, 海德二路保利文化广场A1- ,0755-86286866,
一只小红薯(星河WORLD,46,20,7.8,7.6,7.8, 五和大道星河WORLDCOCOPARK1层外围靠近B座L1C-号 ,13816365972,
飞哥飞饼,138,26,8.5,7.9,8.9, 锦龙路号 ,15099918831,
潮汕豆浆,条评论,1,.,0.1,., 巴登栋 ,1,
汕头广场老牌豆花,667,16,7.2,6.8,7.4, 振华中路华强北中航北苑尚街南门 ,13192399808,
囍炸炸,69,40,7.7,8,7.9, 北环大道中康南路号 ,18938035355,
阿甘锅盔(丰盛町店),39,11,7.8,7.5,7.7, 车公庙丰盛町地下阳光街B层BO ,18079089555,
麻婆婆白家肥肠粉(万象城店),775,32,8.2,8.2,7.9, 深南东路金丰城负一楼 ,13228262626,
西园饮食店,204,32,8.5,7.5,7.9, 宝安大道西乡市场综合楼1号 ,0755-27954697,
潮善普宁肠粉(岗厦店),120,17,8.4,7.7,8.2, 岗厦东三坊1号-(辉旺隔壁) ,18002504053,
米陀饭团(龙岗宝能店),50,14,8.2,7.7,7.7, 建设路号宝能allcityL1-b-1 ,0755-33290078,
新美潮汕小食店,139,13,8.3,6.6,7.2, 景田东路新狮村栋底商(景田肉菜市场对面) ,13530395546,
卤王世家(深圳店),22,17,7.7,7.4,7.5, 振华路1-号 ,13751031881,
娇焰,36,58,6.7,7.2,7.2, 粤海街道科苑南路号深圳湾万象城负一层Ole内 ,0755-86129366,
小明深夜肠粉豆浆,138,17,8.3,7.9,8.4, 深圳下沙村坊号(下沙街发艺名店对面直走米) ,0755-82705166,
曾阿姨牛杂,1,1,.,.,0.1, 11(楚留面包口) ,添加,
周锅盔●成都小吃(车公庙店),条评论,1,.,.,., 社然然科技栋1 ,111,
文和友老长沙龙虾馆(梅林店),1525,122,8.6,8.4,8.3, 梅林街道梅林路号(天欣汽车生活馆) ,13632533322,
泡面小食堂(皇庭广场店),159,34,6.8,7.3,7.2, 福华三路11号皇庭广场B1层摩卡湾内H号(博纳电影院附近) ,13509680070,
菜煎饼谷蔬人家,31,13,8.4,8.2,8.3, 人民北路1号深圳小学斜对面 ,18963266521,
大弗兰湖南米粉小吃(梅林卓悦汇店),1073,34,7.5,7.8,7.5, 梅林路卓悦汇购物中心B层 ,0755-82574361,
手工河粉,14,11,7.4,7.1,7.2, 笋岗村1-号 ,13926546539,
阿甘锅盔(中信城市广场店),51,10,7.8,7.8,7.7, 深南中路1号新城市广场地下负一层吉之岛超市美食街(深井烧鹅对面) ,16600242715,
深夜豆浆,79,22,7.5,7.1,7.4, 玉泉路1号中山苑设计创意产业基地四栋一层号E ,17727962723,
江味龙虾馆(罗湖店),1254,118,8.7,8.8,9.1, 桂园街道红宝路号安华宾馆一楼西侧(大剧院地铁站B出口旁) ,0755-22655569,
老郑记卤粉店(海雅店),69,19,8.6,8,8.3, 新圳西路号-(新安湖商业城对面) ,18922878480,
菜忠潮州牛肉店,483,36,7.9,6.8,6.9, 岗厦牌坊街岗厦小学北1米 ,15622809138,
蠔莊,86,87,8,6.6,7.4, 上围一村1号一楼 ,0755-83803369,
初见辣里抄手面四川小吃(南山学府店),146,29,8.3,8.6,8.5, 前海路号东方银座广场西座1楼(近大新地铁C出口) ,13923427692,
笑脸饭团店,11,元,0.1,.,0.1, 荔火G&G意IngMarket ,111,
大家乐(益田假日广场店),1565,37,7.4,7.6,7.5, 深南大道号益田假日广场B层(华侨城威尼斯酒店旁,近世界之窗) ,0755-86298281
热辣生活(华强北店),1,元,.,.,., 百货负B1 ,-1,
面点王(书城分店),351,37,7.1,7,7, 福中一路1号中心书城南区楼(近自然派) ,0755-23992142,
张氏宽窄巷成都名小吃(平安金融中心店),13,44,6.9,6.9,7.2, 福田街道福安社区益田路号平安金融中心B111 ,0755-23609704,
卷匠,条评论,1,.,.,., 浪商k栋k1-1 ,-11,
潮汕粿汁店,75,16,7.3,7,7.4, 下梅林一街农批市场南侧号档 ,15919712639,
牛佬真正牛骨汤,24,38,7.8,7,7.5, 裕华路与西环路交叉口西北1米 ,13602684327,
南门一坊美食街,条评论,元,.,.,., 粤商BBB1BB ,-111,
张粿老(福田站店),40,24,7.3,7,7.2, 深南大道福田地铁站内美食广场B区 ,0755-82560252,
和府捞面(皇庭广场店),178,40,8.3,8.4,8.5, 福华三路11号皇庭广场B1层-号 ,15992436910,
阿甘锅盔,87,12,7.8,7.6,7.6, 福华路连城新天地二期 ,添加,
潮汕豆浆(东门店),69,17,7.6,6.9,7.3, 东门街道人民北路立新花园B栋裙楼11首层A号 ,18664556089,
和府捞面(卓越intown店),524,42,8,8.5,8.2, 福华三路卓越INTOWN负一层B1号(地铁号线会展中心站E口，1号线岗厦站D出口) ,18778832717,
广场老牌豆花甜汤,90,15,7,7.2,7.4, 中航路1号华强北九方购物中心B1层 ,添加,
庙东排骨(白石洲店),条评论,1,.,.,., 洲1 ,1,
悟粉·长沙现磨手工米粉(市民中心店),25,23,7.3,7.5,7.6, 福中三路三寸时光美食街A1铺(地铁市民中心A口内) ,18028739779,
汤否椰子炖汤(车公庙店),84,30,7.8,7.9,7.8, 丰盛町地下阳光街BCD区C1- ,0755-23942876,
为为螺蛳粉(皇庭广场店),594,26,7.2,7.8,7.5, 福华路皇庭广场B1层博纳电影院旁 ,0755-23999411,
秋菊螺蛳粉,740,15,7.9,7.8,7.9, 西乡街道海城路白金假日公寓1楼号铺(人人乐侧面) ,15813167232,
婉鱼(半路店),67,30,7.5,7.5,7.7, 海德三道航天科技广场B栋负一楼(后海地铁J出口) ,15989885068,
湖南刘三米粉(海岸城总店),552,28,7.8,8.3,7.9, 海德二道海岸城东座商场1楼(华尔街英语楼下) ,13923885942,
楽楽美食商店,84,47,8.3,8,8.2, 沿河北路黄贝岭上村号1 ,15889779323,
万利记老长沙米粉小吃社(福永益田假日店),条评论,1,.,.,., 怀社益田假日地 ,-1,
林叔海丰小吃,条评论,元,.,.,., 埔1之单元11房 ,1,
旁派牛肉粿条汤(福安街店),26,23,8,7.9,7.6, 福田街道福田社区祠堂坊号福安街号1室 ,18145837164,
馍道·凉皮肉夹馍(大冲分部),37,26,7.4,7.8,7.8, 南山区粤海街道大冲新城花园1号商铺(深圳南山外国语学校对面) ,18691880222,
谭记煲仔饭,42,27,7.9,7.2,7.2, 沙头街道沙尾东村号一楼 ,0755-83236273,
大家乐(深业上城店),152,38,7.4,7.7,7.5, 皇岗路1号(深业上城商场M层M铺) ,0755-82782307,
成兴豆浆(福星分店),363,19,8.1,6.7,7.7, 福星路赤尾坊号1(面对南北药行右边第二条小巷口) ,13798203448,
艾薯Aysh(宝安海雅店),条评论,元,.,.,., 宝雅缤纷L1商铺 ,-1,
赖师傅(朗科店),22,22,7.4,7.5,7.7, 高新南六道朗科大厦一楼号铺 ,15286022962,
热辣生活(西乡店),133,57,8.5,8.3,8.3, 西乡地铁站天虹合正汇一城负二层 ,0755-23501921,
榕树头大排档,125,37,8.4,7.6,8.4, 沙井蚝三村(蚝业小学斜对面) ,添加,
忆巷(皇庭店),399,39,8.2,8.7,8.1, 福华三路11号皇庭广场B1(盒马鲜生侧门) ,0755-88319699,
南粤光明乳鸽文化美食园(光明总店),933,87,6.6,6.2,6.1, 体育公园路号 ,0755-27407388,
卷舍(华强北店),75,18,8,8.1,8.3, 华强北步行街茂业天地B1层 ,15989461808,
香港米芝莲(深圳北站店),51,20,7.6,7.7,7.7, 民治街道深圳北站东广场港铁号线C、D出口(SZB-) ,18825252866,
那间小店,349,34,8,6.8,7.4, 学府路桂庙新村 ,13717012737,
炸技团·油炸串串(水贝IBC店),46,43,7.8,8.1,8.5, 东晓街道布心路号IBCMALLB1层A号 ,13590485887,
米陀饭团(福田连城店),22,14,7.9,7.6,7.8, 福华路连城新天地一期A区AA（购物公园地铁A出口右转米）(购物公园A出口) ,0755-82798546,
禾言己蟹黄包生煎包(曼哈店),1,1,.,.,.,  ,1,
线所·米线自由配(海雅缤纷城店),1,元,.,.,., 雅缤纷L-1-1商铺 ,-1,
老兵牛蹄店,379,38,7.6,6.4,6.8, 蛇口老街号(近望海路) ,13827433840,
秦人面莊(车公庙店),140,20,7.3,7.1,7.2, 泰然四路泰然公寓区1栋底商 ,13530721012,
豆小二潮汕豆浆店,15,21,7.3,7.4,7.7, 罗湖区红桂路1号 ,13603002522,
张氏宽窄巷成都名小吃(布吉华润万象汇店),243,61,7.1,7.6,7.1, 布吉街道翔鸽路布吉华润万象汇购物中心B1层号 ,0755-28686167,
阿八蚝仔烙(福宁店),61,25,7.2,6.5,7.1, 福宁街1号(近福宁街号) ,13510845994,
黔派贵州米粉小吃,275,28,8.3,8.4,8.1, 沙头街道泰然四路11栋11号 ,18685182997,
盛和品的米粉铺(新洲店),193,28,9,9,9.1, 新洲北村11号1铺位 ,13316538799,
左左香老潼关肉夹馍,15,17,7.3,7.8,7.5, 振兴路号 ,18033437066,
清华大学饭堂,58,26,7.7,8,7.8, 丽水路1号 ,添加,
宏记莲藕汤,1,1,.,.,., 国1水库栋 ,11,
楚汉先森·武汉热干面湖北小吃(保利店),412,27,7.7,7.8,8.1, 海德二道保利文化广场一楼A1-号 ,18138233925,
吃个汤(储能大厦店),191,34,7.5,7.6,7.6, 科苑南路号中国储能大厦负一层号铺 ,0755-86963181,
红姐驾到全民烫拌菜,23,35,7.5,7.6,7.7, 南海大道来福士广场B1层 ,13702694433,
吃个汤(金光华店),57,37,7.9,7.6,8.2, 南湖街道人民南路新安大厦第一层北- ,13040898868,
庙东排骨(海雅缤纷城店),80,18,7.7,7.5,8, 新圳西路号(海雅缤纷城华润万家对面) ,13902971737,
大申利生煎(皇庭店),144,24,7.9,7.5,7.9, 福华三路皇庭广场B1楼(盒马鲜生内) ,4007752577,
海米道上海生煎,358,21,7.4,7.4,7.6, 福华路连城新天地二期商业街C号(地铁一号线岗厦站C口步行米) ,13530013035,
拌粉君(九方购物中心店),1,元,.,.,., 强方购物负 ,111,
客家油茶,条评论,1,.,.,., 商 ,11,
泡面小食堂(石厦店),96,32,7.9,8.2,8, 石厦街马成时代广场C区一楼11(石厦地铁站F出口米) ,18923703332,
阿甘锅盔,52,9,8,7.5,7.5, 科兴路11号深南花园裙楼 ,15084590001,
春季螺蛳粉(竹子林店),391,20,7.9,7.1,7.6, 竹子林五路北越众小区号单身楼底层A号(汉庭酒店旁边) ,电话：,
郑姐牛杂,113,20,7.8,6.7,7.7, 新安湖片区区甲岸村1栋11室 ,13242020788,
晓艾生煎(南山海雅店),114,25,7.1,7,7, 南海大道海雅缤纷广场负一层号 ,15989463306,
潮香四海·正宗潮汕风味(南山店),1208,83,9,8.3,8.9, 南山大道111号南海大厦首层1-1号(11号线南山站D出口南米，中油大厦旁) ,0755-86318890,
喜爱汤室(水围店),159,48,8.5,8.7,8.4, 水围二街1号 ,13312961485,
合式食屋·面线糊,条评论,元,.,.,., 1-1(沃玛店1米) ,11,
新洲炒粉,1,1,.,0.1,., 洲 ,添加,
恭喜发财糖水铺,28,11,7.5,7.5,7.6, 梅山街梅林一村区栋1D路边商铺 ,15099939383,
不二猫冰卤串串,58,30,7.7,7.7,7.6, 沙河街道白石路欢乐海岸购物中心F-1商铺 ,0755-86701930,
味宝园牛杂,184,29,8.2,7.1,7.7, 国威路1-号 ,添加,
丰顺捆粄,56,17,7.5,7.2,7.4, 下沙村六坊号11(夜明珠酒吧旁) ,13798263233,
艾薯Aysh(壹方城店),439,46,8.1,8.1,7.7, 新安街道新湖路号壹方城L层1B号铺 ,0755-23002649,
韩国炸酱面,625,68,7.6,7.4,7.2, 南光路鸿瑞花园三期-1号 ,15989438155,
大聪烧鹅,274,29,8.2,6.7,7.1, 下梅林梅丽路富盛花园A栋11号(近家乐福) ,0755-83178734,
宝狮杂碎小食馆,676,44,8.3,7,7.9, 蛇口湾厦路号 ,0755-26684667,
阳江河堤老牌曾记美食(上沙分店),410,35,7.5,6.5,6.6, 上沙椰树村巷1号 ,13418848187,
泰面thaimix(人民南路店),112,38,8.4,7.7,8.7, 人民南路罗小四街1-号(张亮麻辣烫旁) ,13530010962,
李府驴肉火烧店,条评论,1,.,.,., 1-1 ,1,
有间桐坑揭阳牛肉粿.九牧牛人(泥岗店),条评论,元,.,.,., 碧泥岗1(泥岗地铁C出口) ,11,
深圳大学南区食堂,1,1,.,.,., 白校 ,-1,
面点王(欢乐海岸分店),1,元,.,.,., 白欢岸水幕秀入口处 ,-1,
天桥下肠粉,1,元,.,.,0.1, 商报与景田叉口米 ,添加,
阿甘锅盔(壹方城店),294,10,8.1,7.8,7.8, 新湖路号壹方城B-号 ,18746661862,
沙拉煎饼&火锅米线(万科店),33,18,7.8,7.8,8.4, 龙翔大道龙城街道万科天誉广场商铺111室(小龙坎老火锅路口直行米) ,15361088911,
黑炮石头肉饼,41,14,8.1,7.8,8, 梅林路卓悦汇购物中心 ,添加,
虾小士·小龙虾轻食(海岸城店),68,41,7.9,8,8.5, 海德一路海岸城负一楼号铺 ,13603071263,
巷内锅盔(华强北茂业店),322,14,8.1,7.7,7.9, 华强北路茂业百货(℃对面) ,13670166737,
包粥稻(车公庙店),76,23,7.7,7.6,7.1, 车公庙工业泰然四路11栋1楼 ,0755-83225583,
小蹄大作,161,26,7.9,7.6,8, 连城新天地一期A店铺(购物公园地铁站A出口旁) ,13823354499,
阿甘锅盔(海雅店),349,11,8.2,7.8,7.8, 广深公路海雅缤纷城负一楼B1-1 ,13936993966,
点点鲜(肠粉王),32,27,6.9,6.9,7, 福田街道福田地铁站负一层福一街号(福田地铁站A1出口时尚MEGO美食C区) ,18927435658,
张氏宽窄巷成都名小吃(宝安壹方城店),532,59,6.9,7.3,6.8, 新安街道新湖路号壹方城B层号商铺 ,0755-23003441,
揭阳捆粿168(新洲店),249,26,8.2,7.1,7.4, 新洲七街号 ,0755-82732356,
十八潮州粥,87,83,8,7.2,7.5, 福安街号 ,0755-82885887,
味滋禾轩捞捞面,505,15,8.6,7.8,8.4, 南庆街八达商城一楼1-号(新巢ktv对面) ,13631580895,
佳俊八宝牛杂,51,21,8.6,7.6,8.1, 南水步行街南水路号 ,添加,
谷田稻香(宝能太古城店),63,39,7.4,7.3,7.2, 蛇口街道深圳湾社区中心路号宝能太古城北区NB1 ,0755-36889160,
旧同学热干面,条评论,元,.,.,., 雅百货负 ,11,
阿甘锅盔(来福士广场店),251,11,7.6,7.4,7.2, 南海大道来福士广场负一楼(CC果蔬吧正对面) ,18778331520,
黄太吉,131,23,7,7.3,7.2, 福华三路购物公园负一层B1S- ,添加,
园聚得,66,21,8,7.4,7.6, 中航路华强北世纪汇负一楼B1号商铺 ,13823775763,
长巷茶粿坊,63,19,7.5,7.4,7.6, 南门东路大鹏所城东门(长巷号) ,13437770034,
汉堡王(福华三路店),1912,30,7.7,7.6,7.5, 福华三路号L层 ,0755-21515526,
茶亭餐厅(市民中心店),条评论,元,.,.,., A地铁负物A- ,111,
宝庆人家,236,21,7.6,6.7,7.6, 新圳西路1号华夏楼号铺 ,18617173311,
食代馆(深业上城店),208,52,7.4,7.8,7.4, 皇岗路1号深业上城商场L1层L1铺 ,添加,
明洞美食,73,19,7.8,7.2,7.7, 大街与同沙路交汇处西南角 ,添加,
石锅拌饭(华新店),40,22,7.8,7.6,7.9, 红荔路华红社区华新村栋南面时尚ME.GO华新站地铁商城 ,18666821171,
煲仔饭,22,23,7.4,7.4,7.3, 粤海街道创维半导体设计大厦负一层1F ,0755-26410478,
Autobahn无限速(金光华广场店),192,56,7.9,7.7,7.9, 人民南路号金光华广场层L- ,0755-82323027,
艾薯Aysh(龙岗万科里店),21,45,8,7.8,7.5, 龙岗大道万科里一楼L1- ,15012831332,
后巷牛杂,132,27,8.3,7.4,8.1, 东门一巷号楼1楼(东纵路号紫金八刀汤楼后) ,15814455060,
山水肠粉,1,1,.,.,., 与涛叉口(近角) ,-,
小黑桐坑牛肉粿(水围店),条评论,元,.,0.1,., 水围水围首 ,11,
围炉锅盔(深圳北站缤果空间站),12,12,7.5,7.3,7.6, 民塘路深圳北站缤果空间购物中心楼 ,13612990687,
深井村·烧鹅专门店(宝安店),483,46,7.9,8.3,7.9, 宝安大道号旭生大厦后面一楼 ,0755-82179977,
鼎泰隆蟹黄灌汤包,320,27,7.2,7,7, 东门中路号温莎广场1F号 ,0755-22310270,
三只松鼠(星河world,42,42,8.4,8.6,8.5, 坂田五和大道星河worldcocoparkB1 ,18655111661,
胡椒宅男(深圳北缤果空间店),条评论,元,.,.,., 塘缤果空间F ,1,
半饱半醉(万象天地店),1659,97,7.4,8.1,7.6, 深南大道号万象天地里巷二楼NL ,0755-86687398,
米陀饭团(中信永旺店),40,14,7.5,8,7.8, 深南中路1号中信大厦负一楼内 ,0755-25125659,
80克手眷饼(购物公园店),436,23,7.6,7.7,7.7, 福华路购物公园地铁站B出口右侧牛状元对面 ,0755-82542373,
王记锅盔(下梅林店),条评论,1,0.1,.,., (下桥商行旁) ,1111,
无名肥姐牛杂,28,16,7.6,7.2,7.5, 黄贝岭南街下村号集浩大厦沿街商铺 ,18922843916,
小羅长沙臭豆腐(海雅店),1,1,.,.,.,  ,1,
庙东排骨(白石龙玖龙荟店),条评论,元,.,.,., 塘社玖玺N11铺 ,1,
深夜豆浆,30,18,7.6,7.3,7.5, 爱联爱都路- ,18318340525,
西湖干菜饼,条评论,元,.,.,., -立丰药房旁边 ,1,
和府捞面(深圳北站店),25,47,7.9,7.6,7.8, 深圳北站出发大厅楼号商铺 ,13418097017,
阿甘锅盔(壹海城·ONE,80,10,7.6,7.6,7.4, 海景二路1号(壹海城·ONEMALL楼L-号) ,添加,
公安锅盔,条评论,元,.,.,.,1,添加,
豫东全羊汤馆,1,元,.,.,., 侨苑复式1(侨后) ,11111,
晓艾生煎(世界之窗店),190,24,8.1,7.6,8, 沙河街道深南大道瑞思中心优米道超市负一层 ,17748688223,
杨姐自造,条评论,元,.,.,., 国投负 ,-1,
阿甘锅盔(龙城万科里店),51,10,7.5,7.4,7.6, 龙岗大道龙城万科里 ,添加,
大弗兰丨湖南米粉小吃(宝能店),259,33,7.8,7.8,7.5, 蛇口宝能太古城南区(宝能太古城南区B1层KFC旁边) ,0755-36993105,
越南肠粉,74,14,8.2,7.3,8, 光翠路附近怡品轩茗茶隔壁 ,15999582472,
好好味面家,1734,20,8.4,6.8,7.1, 桃园路-号(近南山天虹商场) ,0755-26666365,
庙东排骨(泥岗店),1,元,.,.,., 罗洪涛泥岗1 ,1,
俊康肠粉,156,27,8.1,8,8.2, 皇岗公园一街水围1文化街区南一街1栋 ,13392171852,
飪一碗(购物公园店),806,29,7.9,7.8,7.8, 福华路购物公园地铁站B出口地下室B-B号 ,15999675376,
香河肉饼,11,元,.,.,.,  ,11,
揭阳捆粿168,256,25,8.2,6.7,6.7, 爱国路水库新村四街号(近水库新村篮球场) ,0755-25995616,
沈氏浙江烧饼,条评论,元,.,.,., 登良油B栋1 ,111,
锅盔演義(皇庭广场店),92,11,7.7,7.3,7, 福华三路11号(皇庭广场负一楼摩卡湾内，泡面小食堂对面) ,15012566007,
深运潮州粥(振兴店),1358,52,7.8,7,7.1, 红荔路上步工业区1栋1楼(近振兴宾馆) ,0755-83363553,
河南崔记水煎包胡辣汤,26,12,7.4,7.1,7.4, 白石洲一街1号(美宜多生活精选超市旁) ,15986622728,
